title,link,source
How to Move On From the Worst of Identity Politics,"=HYPERLINK(""https://www.theatlantic.com/ideas/archive/2024/12/democrats-election-loss-identity/680993/?utm_source=feed"", ""Link"")",The Atlantic
"Trump’s New Economic Policies Could Have A Detrimental Impact On Black Businesses, Yet Some Opportunities May Exist","=HYPERLINK(""https://www.blackenterprise.com/trumps-new-economic-policies-could-have-a-detrimental-impact-on-black-businesses-yet-some-opportunities-may-exist/"", ""Link"")",Black Enterprise
Six-Word Sci-Fi: Stories Written by You,"=HYPERLINK(""https://www.wired.com/story/six-word/"", ""Link"")",WIRED
The 51 Best Shows on Disney+ Right Now (December 2024),"=HYPERLINK(""https://www.wired.com/story/best-shows-disney-plus/"", ""Link"")",WIRED
The Top Cybersecurity Agency in the US Is Bracing for Donald Trump,"=HYPERLINK(""https://www.wired.com/story/cisa-cuts-trump-2/"", ""Link"")",WIRED
AI Will Evolve Into an Organizational Strategy for All,"=HYPERLINK(""https://www.wired.com/story/artificial-intelligence-work-organizational-strategy/"", ""Link"")",WIRED
Mega-Farms Are Driving the Threat of Bird Flu,"=HYPERLINK(""https://www.wired.com/story/mega-farms-are-driving-the-threat-of-bird-flu/"", ""Link"")",WIRED
Tips for ChatGPT’s Voice Mode? Best AI Uses for Retirees? Our Expert Answers Your Questions,"=HYPERLINK(""https://www.wired.com/story/subscriber-only-livestream-with-reece-rogers-ai-unlocked-2/"", ""Link"")",WIRED
How to add extensions to Gemini,"=HYPERLINK(""https://www.theverge.com/24322770/gemini-ai-google-how-to-extensions"", ""Link"")",The Verge -  All Posts
A comprehensive list of 2024 tech layoffs,"=HYPERLINK(""https://techcrunch.com/2024/12/17/tech-layoffs-2024-list/"", ""Link"")",TechCrunch
Google joins $90M investment into Cassava to bolster Africa’s digital infrastructure,"=HYPERLINK(""https://techcrunch.com/2024/12/17/google-joins-90m-investment-into-cassava-to-bolster-africas-digital-infrastructure/"", ""Link"")",TechCrunch
Amazon deal of the day: The new Fire TV Soundbar Plus just got its first discount,"=HYPERLINK(""https://mashable.com/article/amazon-deals-of-the-day-fire-tv-soundbar-plus-dec-17"", ""Link"")",Mashable
Light up the solstice with Govee smart light savings,"=HYPERLINK(""https://mashable.com/article/dec-4-govee-deals"", ""Link"")",Mashable
Xs declining user base: Elon Musks platform projected to lose millions of users in 2025,"=HYPERLINK(""https://mashable.com/article/elon-musk-x-declining-user-base-2025"", ""Link"")",Mashable
Campaigners furious as women hit by pension age rise denied payouts,"=HYPERLINK(""https://www.bbc.com/news/articles/czr36842nd6o"", ""Link"")",BBC News
Spy allegations pose dilemma for UK's China policy,"=HYPERLINK(""https://www.bbc.com/news/articles/cg4zxkel2xeo"", ""Link"")",BBC News
New Mauritian PM sends fresh Chagos proposals to UK,"=HYPERLINK(""https://www.bbc.com/news/articles/cm2ekk2pv1no"", ""Link"")",BBC News
UK government denies rift with Mauritian PM over Chagos Islands deal,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/17/uk-government-denies-rift-with-mauritian-pm-over-chagos-island-deal"", ""Link"")",World news | The Guardian
Hundreds feared dead as Cyclone Chido devastates French island of Mayotte,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/15/hundreds-feared-dead-as-cyclone-chido-devastates-french-island-of-mayotte"", ""Link"")",World news | The Guardian
Canada’s Liberals brace for possible trouncing in British Columbia byelection,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/16/canada-election-british-columbia-liberal-party"", ""Link"")",World news | The Guardian
Friedrich Merz lashes out at Greens as German election campaign starts,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/17/friedrich-merz-lashes-out-at-greens-as-german-leadership-campaign-starts"", ""Link"")",World news | The Guardian
Trump lashes out at judge who refused to dismiss business fraud conviction – as it happened,"=HYPERLINK(""https://www.theguardian.com/us-news/live/2024/dec/17/donald-trump-tariffs-congress-politics-latest-updates"", ""Link"")",World news | The Guardian
Trump sues Iowa newspaper over election poll claiming Harris’s lead,"=HYPERLINK(""https://www.theguardian.com/us-news/2024/dec/17/trump-des-moines-register-lawsuit"", ""Link"")",World news | The Guardian
